"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 03월 21일","5,793.82","5,923.43","5,928.06","5,790.73","528.08M","-1.83%"
"2017년 03월 20일","5,901.53","5,898.81","5,915.12","5,888.12","407.11M","0.01%"
"2017년 03월 17일","5,901.00","5,898.58","5,912.61","5,890.42","1.35B","0.00%"
"2017년 03월 16일","5,900.76","5,907.86","5,911.48","5,887.24","412.39M","0.01%"
"2017년 03월 15일","5,900.05","5,869.97","5,911.20","5,858.16","468.32M","0.74%"
"2017년 03월 14일","5,856.82","5,860.07","5,860.50","5,831.88","390.46M","-0.32%"
"2017년 03월 13일","5,875.78","5,863.48","5,877.43","5,860.83","405.74M","0.24%"
"2017년 03월 10일","5,861.73","5,867.16","5,872.60","5,835.44","476.86M","0.39%"
"2017년 03월 09일","5,838.81","5,834.67","5,852.54","5,812.08","423.01M","0.02%"
"2017년 03월 08일","5,837.55","5,838.44","5,860.63","5,832.63","422.94M","0.06%"
"2017년 03월 07일","5,833.93","5,836.12","5,859.77","5,826.32","418.89M","-0.26%"
"2017년 03월 06일","5,849.18","5,846.42","5,857.74","5,827.46","412.85M","-0.37%"
"2017년 03월 03일","5,870.75","5,854.27","5,870.75","5,841.47","424.84M","0.16%"
"2017년 03월 02일","5,861.22","5,897.01","5,897.01","5,856.30","454.31M","-0.73%"
"2017년 03월 01일","5,904.03","5,874.86","5,911.79","5,865.79","522.79M","1.35%"
"2017년 02월 28일","5,825.44","5,852.79","5,855.06","5,817.22","620.83M","-0.62%"
"2017년 02월 27일","5,861.90","5,835.04","5,861.90","5,827.00","447.06M","0.28%"
"2017년 02월 24일","5,845.31","5,802.33","5,845.31","5,800.55","419.25M","0.17%"
"2017년 02월 23일","5,835.51","5,866.82","5,866.96","5,809.55","444.62M","-0.43%"
"2017년 02월 22일","5,860.63","5,857.56","5,864.41","5,848.28","422.84M","-0.09%"
"2017년 02월 21일","5,865.95","5,850.20","5,867.89","5,847.50","453.57M","0.47%"
"2017년 02월 17일","5,838.58","5,807.31","5,838.58","5,800.80","500.75M","0.41%"
"2017년 02월 16일","5,814.90","5,823.01","5,835.15","5,796.71","441.52M","-0.08%"
"2017년 02월 15일","5,819.44","5,777.90","5,821.95","5,776.70","450.50M","0.64%"
"2017년 02월 14일","5,782.57","5,756.51","5,783.09","5,748.74","431.56M","0.32%"
"2017년 02월 13일","5,763.96","5,753.19","5,770.99","5,751.92","404.16M","0.52%"
"2017년 02월 10일","5,734.13","5,726.18","5,743.43","5,717.42","421.00M","0.33%"
"2017년 02월 09일","5,715.18","5,688.02","5,722.71","5,685.15","439.63M","0.58%"
"2017년 02월 08일","5,682.45","5,662.95","5,686.96","5,649.39","444.98M","0.15%"
"2017년 02월 07일","5,674.22","5,674.86","5,689.60","5,664.82","440.96M","0.19%"
"2017년 02월 06일","5,663.55","5,656.95","5,668.20","5,650.26","397.57M","-0.06%"
"2017년 02월 03일","5,666.77","5,650.73","5,666.84","5,647.58","411.17M","0.54%"
"2017년 02월 02일","5,636.20","5,627.15","5,656.01","5,616.40","471.57M","-0.11%"
"2017년 02월 01일","5,642.65","5,654.51","5,662.11","5,621.03","499.98M","0.50%"
"2017년 01월 31일","5,614.79","5,592.87","5,615.15","5,576.09","506.36M","0.02%"
"2017년 01월 30일","5,613.71","5,635.86","5,636.09","5,578.76","417.27M","-0.83%"
"2017년 01월 27일","5,660.78","5,664.88","5,667.45","5,643.90","386.97M","0.10%"
"2017년 01월 26일","5,655.18","5,666.28","5,669.61","5,647.65","426.44M","-0.02%"
"2017년 01월 25일","5,656.34","5,635.86","5,658.59","5,634.33","435.79M","0.99%"
"2017년 01월 24일","5,600.96","5,568.27","5,606.53","5,558.49","409.12M","0.86%"
"2017년 01월 23일","5,552.94","5,546.64","5,564.14","5,522.69","389.91M","-0.04%"
"2017년 01월 20일","5,555.33","5,556.87","5,574.35","5,542.23","444.46M","0.28%"
"2017년 01월 19일","5,540.08","5,560.61","5,571.53","5,528.37","398.66M","-0.28%"
"2017년 01월 18일","5,555.65","5,546.94","5,555.98","5,534.77","380.31M","0.31%"
"2017년 01월 17일","5,538.73","5,555.16","5,557.05","5,527.22","415.58M","-0.63%"
"2017년 01월 13일","5,574.12","5,557.57","5,584.26","5,557.20","357.66M","0.48%"
"2017년 01월 12일","5,547.49","5,542.56","5,550.67","5,496.82","394.73M","-0.29%"
"2017년 01월 11일","5,563.65","5,550.72","5,564.08","5,524.03","435.71M","0.21%"
"2017년 01월 10일","5,551.82","5,536.54","5,564.25","5,528.11","431.57M","0.36%"
"2017년 01월 09일","5,531.82","5,527.57","5,541.08","5,517.14","433.10M","0.19%"
"2017년 01월 06일","5,521.06","5,499.08","5,536.52","5,482.81","382.85M","0.60%"
"2017년 01월 05일","5,487.94","5,474.39","5,495.85","5,464.36","423.64M","0.20%"
"2017년 01월 04일","5,477.01","5,440.91","5,482.35","5,440.24","455.34M","0.88%"
"2017년 01월 03일","5,429.08","5,425.62","5,452.56","5,397.99","450.68M","0.85%"
"2016년 12월 30일","5,383.12","5,440.17","5,441.90","5,371.89","395.59M","-0.90%"
"2016년 12월 29일","5,432.09","5,437.51","5,450.63","5,415.18","289.60M","-0.12%"
"2016년 12월 28일","5,438.56","5,497.44","5,498.91","5,434.70","294.74M","-0.89%"
"2016년 12월 27일","5,487.44","5,470.76","5,512.37","5,469.61","269.42M","0.45%"
"2016년 12월 23일","5,462.69","5,441.76","5,462.69","5,441.76","264.11M","0.28%"
"2016년 12월 22일","5,447.42","5,472.01","5,472.01","5,432.77","362.87M","-0.44%"
"2016년 12월 21일","5,471.43","5,482.63","5,486.26","5,465.31","336.01M","-0.23%"
"2016년 12월 20일","5,483.94","5,473.53","5,489.47","5,471.71","395.33M","0.49%"
"2016년 12월 19일","5,457.44","5,441.20","5,483.42","5,436.54","402.71M","0.37%"
"2016년 12월 16일","5,437.16","5,467.82","5,474.58","5,426.01","1.19B","-0.36%"
"2016년 12월 15일","5,456.85","5,443.51","5,485.12","5,439.39","486.60M","0.37%"
"2016년 12월 14일","5,436.67","5,465.69","5,476.25","5,425.73","462.23M","-0.50%"
"2016년 12월 13일","5,463.83","5,433.57","5,486.75","5,430.72","470.73M","0.95%"
"2016년 12월 12일","5,412.54","5,428.22","5,434.90","5,394.42","450.45M","-0.59%"
"2016년 12월 09일","5,444.50","5,436.11","5,450.16","5,427.12","436.08M","0.50%"
"2016년 12월 08일","5,417.36","5,394.15","5,425.52","5,389.10","494.46M","0.44%"
"2016년 12월 07일","5,393.76","5,322.67","5,397.93","5,307.31","484.56M","1.14%"
"2016년 12월 06일","5,333.00","5,317.74","5,333.99","5,299.94","438.30M","0.45%"
"2016년 12월 05일","5,308.89","5,283.58","5,321.09","5,269.57","435.66M","1.01%"
"2016년 12월 02일","5,255.65","5,249.02","5,274.54","5,239.27","431.83M","0.09%"
"2016년 12월 01일","5,251.11","5,323.88","5,326.34","5,238.21","526.21M","-1.36%"
"2016년 11월 30일","5,323.68","5,391.35","5,393.15","5,323.68","580.79M","-1.05%"
"2016년 11월 29일","5,379.92","5,370.98","5,403.86","5,360.56","440.16M","0.21%"
"2016년 11월 28일","5,368.81","5,387.92","5,396.27","5,364.91","390.77M","-0.56%"
"2016년 11월 25일","5,398.92","5,388.49","5,398.92","5,379.28","197.46M","0.34%"
"2016년 11월 23일","5,380.68","5,366.55","5,380.68","5,350.68","385.75M","-0.11%"
"2016년 11월 22일","5,386.35","5,384.75","5,392.26","5,365.60","433.19M","0.33%"
"2016년 11월 21일","5,368.86","5,336.78","5,369.83","5,334.16","411.24M","0.89%"
"2016년 11월 18일","5,321.51","5,340.97","5,346.80","5,315.53","480.19M","-0.23%"
"2016년 11월 17일","5,333.97","5,295.07","5,334.05","5,288.16","463.15M","0.74%"
"2016년 11월 16일","5,294.58","5,253.73","5,299.63","5,251.88","462.54M","0.36%"
"2016년 11월 15일","5,275.62","5,241.35","5,287.06","5,236.25","493.91M","1.10%"
"2016년 11월 14일","5,218.40","5,246.33","5,247.17","5,192.05","537.26M","-0.36%"
"2016년 11월 11일","5,237.11","5,191.82","5,241.08","5,179.64","561.97M","0.54%"
"2016년 11월 10일","5,208.80","5,283.48","5,302.68","5,145.32","695.55M","-0.80%"
"2016년 11월 09일","5,251.07","5,143.86","5,258.99","5,143.86","673.59M","1.11%"
"2016년 11월 08일","5,193.49","5,154.99","5,214.17","5,145.30","395.69M","0.53%"
"2016년 11월 07일","5,166.17","5,128.99","5,169.41","5,122.77","456.10M","2.37%"
"2016년 11월 04일","5,046.37","5,034.41","5,087.51","5,034.41","478.36M","-0.24%"
"2016년 11월 03일","5,058.41","5,104.70","5,115.06","5,053.52","471.92M","-0.92%"
