"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 04월 06일","1,971.32","1,963.17","1,975.09","1,961.51","358.03M","0.44%"
"2016년 04월 05일","1,962.74","1,972.38","1,973.17","1,959.26","368.16M","-0.82%"
"2016년 04월 04일","1,978.97","1,974.73","1,979.03","1,969.35","363.32M","0.27%"
"2016년 04월 01일","1,973.57","1,994.77","1,994.77","1,970.17","392.26M","-1.12%"
"2016년 03월 31일","1,995.85","2,005.72","2,007.43","1,986.74","335.07M","-0.31%"
"2016년 03월 30일","2,002.14","2,005.24","2,009.10","1,998.51","368.30M","0.36%"
"2016년 03월 29일","1,994.91","1,986.93","1,997.33","1,984.07","385.45M","0.62%"
"2016년 03월 28일","1,982.54","1,984.93","1,992.46","1,981.37","410.47M","-0.06%"
"2016년 03월 25일","1,983.81","1,991.06","1,991.06","1,981.53","463.42M","-0.11%"
"2016년 03월 24일","1,985.97","1,988.46","1,992.76","1,981.17","341.17M","-0.46%"
"2016년 03월 23일","1,995.12","1,996.47","2,001.67","1,989.84","367.55M","-0.08%"
"2016년 03월 22일","1,996.81","1,993.37","1,997.76","1,986.87","383.75M","0.35%"
"2016년 03월 21일","1,989.76","1,999.25","2,003.12","1,982.70","323.26M","-0.12%"
"2016년 03월 18일","1,992.12","1,996.31","1,996.31","1,986.04","385.85M","0.21%"
"2016년 03월 17일","1,987.99","1,984.69","2,000.30","1,984.33","291.58M","0.66%"
"2016년 03월 16일","1,974.90","1,971.58","1,982.08","1,969.66","294.46M","0.25%"
"2016년 03월 15일","1,969.97","1,975.61","1,979.46","1,966.44","264.58M","-0.12%"
"2016년 03월 14일","1,972.27","1,985.74","1,985.90","1,970.56","357.08M","0.04%"
"2016년 03월 11일","1,971.41","1,968.30","1,975.87","1,966.65","303.42M","0.11%"
"2016년 03월 10일","1,969.33","1,958.87","1,976.19","1,955.67","352.32M","0.84%"
"2016년 03월 09일","1,952.95","1,940.55","1,952.95","1,938.32","355.39M","0.35%"
"2016년 03월 08일","1,946.12","1,958.94","1,958.94","1,935.55","358.68M","-0.60%"
"2016년 03월 07일","1,957.87","1,961.26","1,963.43","1,955.97","344.61M","0.11%"
"2016년 03월 04일","1,955.63","1,956.01","1,958.46","1,949.47","316.42M","-0.13%"
"2016년 03월 03일","1,958.17","1,957.83","1,958.17","1,946.57","420.98M","0.55%"
"2016년 03월 02일","1,947.42","1,944.27","1,949.94","1,942.24","323.35M","1.60%"
"2016년 02월 29일","1,916.66","1,921.76","1,927.05","1,916.66","275.05M","-0.18%"
"2016년 02월 26일","1,920.16","1,927.10","1,927.80","1,917.07","280.22M","0.08%"
"2016년 02월 25일","1,918.57","1,919.08","1,928.49","1,906.99","305.79M","0.32%"
"2016년 02월 24일","1,912.53","1,908.71","1,918.63","1,906.19","281.60M","-0.09%"
"2016년 02월 23일","1,914.22","1,928.85","1,929.53","1,909.79","326.81M","-0.11%"
"2016년 02월 22일","1,916.36","1,911.56","1,921.14","1,905.85","267.86M","0.01%"
"2016년 02월 19일","1,916.24","1,904.50","1,916.24","1,902.24","312.20M","0.39%"
"2016년 02월 18일","1,908.84","1,909.40","1,910.12","1,898.49","332.58M","1.32%"
"2016년 02월 17일","1,883.94","1,889.41","1,897.37","1,881.03","344.63M","-0.23%"
"2016년 02월 16일","1,888.30","1,870.10","1,892.15","1,868.11","388.32M","1.40%"
"2016년 02월 15일","1,862.20","1,857.33","1,864.62","1,847.60","284.60M","1.47%"
