"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 08월 16일","25,886.01","25,678.17","25,929.65","25,678.17","276.21M","1.20%"
"2019년 08월 15일","25,579.39","25,514.25","25,639.69","25,339.60","335.80M","0.39%"
"2019년 08월 14일","25,479.42","26,035.08","26,035.08","25,471.59","357.00M","-3.05%"
"2019년 08월 13일","26,279.91","25,888.88","26,426.97","25,833.25","309.61M","1.44%"
"2019년 08월 12일","25,907.37","26,169.91","26,178.95","25,824.94","200.58M","-1.45%"
"2019년 08월 09일","26,287.44","26,337.09","26,413.36","26,097.64","241.93M","-0.34%"
"2019년 08월 08일","26,378.19","26,086.52","26,383.61","26,038.10","283.59M","1.43%"
"2019년 08월 07일","26,007.07","25,814.22","26,073.21","25,440.39","350.09M","-0.09%"
"2019년 08월 06일","26,029.52","25,810.62","26,038.68","25,710.87","322.97M","1.21%"
"2019년 08월 05일","25,717.74","26,259.23","26,259.23","25,523.38","423.37M","-2.90%"
"2019년 08월 02일","26,485.01","26,528.66","26,570.02","26,249.22","335.72M","-0.37%"
"2019년 08월 01일","26,583.42","26,879.86","27,175.59","26,548.71","390.49M","-1.05%"
"2019년 07월 31일","26,864.27","27,244.67","27,281.65","26,719.60","389.00M","-1.23%"
"2019년 07월 30일","27,198.02","27,145.39","27,224.36","27,069.86","293.25M","-0.09%"
"2019년 07월 29일","27,221.35","27,192.24","27,275.85","27,178.06","259.32M","0.11%"
"2019년 07월 26일","27,192.45","27,166.00","27,213.70","27,123.25","243.20M","0.19%"
"2019년 07월 25일","27,140.98","27,247.39","27,298.43","27,062.48","244.02M","-0.47%"
"2019년 07월 24일","27,269.97","27,262.24","27,291.04","27,191.12","245.88M","-0.29%"
"2019년 07월 23일","27,349.19","27,231.86","27,368.81","27,204.58","250.80M","0.65%"
"2019년 07월 22일","27,171.90","27,174.18","27,227.77","27,088.90","226.95M","0.07%"
"2019년 07월 19일","27,154.20","27,246.38","27,342.96","27,145.78","287.69M","-0.25%"
"2019년 07월 18일","27,222.97","27,191.98","27,266.81","27,068.79","218.82M","0.01%"
"2019년 07월 17일","27,219.85","27,320.91","27,343.06","27,218.38","196.78M","-0.42%"
"2019년 07월 16일","27,335.63","27,349.32","27,398.68","27,290.24","226.00M","-0.09%"
"2019년 07월 15일","27,359.16","27,364.69","27,364.69","27,294.17","199.73M","0.10%"
"2019년 07월 12일","27,332.03","27,139.49","27,333.79","27,135.45","248.39M","0.90%"
"2019년 07월 11일","27,088.08","26,950.16","27,088.45","26,916.32","252.30M","0.85%"
"2019년 07월 10일","26,860.20","26,851.96","26,983.45","26,813.11","207.99M","0.29%"
"2019년 07월 09일","26,783.49","26,725.12","26,807.70","26,665.57","218.33M","-0.08%"
"2019년 07월 08일","26,806.14","26,835.64","26,839.14","26,744.87","214.29M","-0.43%"
"2019년 07월 05일","26,922.12","26,867.75","26,950.81","26,733.33","192.17M","-0.16%"
"2019년 07월 03일","26,966.00","26,832.32","26,966.00","26,831.44","149.84M","0.67%"
"2019년 07월 02일","26,786.68","26,719.53","26,787.56","26,632.65","219.27M","0.26%"
"2019년 07월 01일","26,717.43","26,805.86","26,890.64","26,616.21","285.35M","0.44%"
"2019년 06월 28일","26,599.96","26,605.93","26,638.35","26,522.27","499.35M","0.28%"
"2019년 06월 27일","26,526.58","26,523.72","26,607.24","26,465.32","246.93M","-0.04%"
"2019년 06월 26일","26,536.82","26,599.42","26,660.04","26,536.33","274.34M","-0.04%"
"2019년 06월 25일","26,548.22","26,731.61","26,752.31","26,527.66","282.16M","-0.67%"
"2019년 06월 24일","26,727.54","26,727.61","26,806.52","26,723.37","232.39M","0.03%"
"2019년 06월 21일","26,719.13","26,749.12","26,907.37","26,705.87","485.56M","-0.13%"
"2019년 06월 20일","26,753.17","26,665.38","26,798.63","26,539.69","278.17M","0.94%"
"2019년 06월 19일","26,504.00","26,490.16","26,569.75","26,415.05","240.95M","0.15%"
"2019년 06월 18일","26,465.54","26,228.88","26,527.19","26,227.76","273.49M","1.35%"
"2019년 06월 17일","26,112.53","26,108.53","26,165.78","26,049.80","199.50M","0.09%"
"2019년 06월 14일","26,089.61","26,076.36","26,162.28","25,988.09","208.02M","-0.07%"
"2019년 06월 13일","26,106.77","26,036.94","26,146.91","25,995.71","213.40M","0.39%"
"2019년 06월 12일","26,004.83","26,040.30","26,082.10","25,958.66","223.69M","-0.17%"
"2019년 06월 11일","26,048.51","26,180.59","26,248.67","25,998.87","253.49M","-0.05%"
"2019년 06월 10일","26,062.68","26,090.22","26,210.61","26,054.31","249.28M","0.30%"
"2019년 06월 07일","25,983.94","25,768.72","26,072.75","25,768.72","263.01M","1.02%"
"2019년 06월 06일","25,720.66","25,567.45","25,800.30","25,518.05","248.07M","0.71%"
"2019년 06월 05일","25,539.57","25,451.00","25,544.66","25,373.58","262.66M","0.82%"
"2019년 06월 04일","25,332.18","24,962.82","25,343.77","24,962.82","281.69M","2.06%"
"2019년 06월 03일","24,819.78","24,830.16","24,935.21","24,680.57","328.24M","0.02%"
"2019년 05월 31일","24,815.04","25,046.31","25,046.31","24,809.51","292.23M","-1.41%"
"2019년 05월 30일","25,169.88","25,139.94","25,218.54","25,066.75","215.24M","0.17%"
"2019년 05월 29일","25,126.41","25,231.46","25,231.46","24,938.24","298.93M","-0.87%"
"2019년 05월 28일","25,347.77","25,616.55","25,717.63","25,342.28","364.85M","-0.93%"
"2019년 05월 24일","25,585.69","25,551.07","25,670.81","25,496.20","201.37M","0.37%"
"2019년 05월 23일","25,490.47","25,657.99","25,657.99","25,328.09","316.94M","-1.11%"
"2019년 05월 22일","25,776.61","25,818.46","25,878.21","25,755.11","241.76M","-0.39%"
"2019년 05월 21일","25,877.33","25,782.34","25,898.27","25,779.61","260.87M","0.77%"
"2019년 05월 20일","25,679.90","25,655.31","25,751.71","25,560.55","279.56M","-0.33%"
"2019년 05월 17일","25,764.00","25,719.95","25,948.74","25,657.78","283.76M","-0.38%"
"2019년 05월 16일","25,862.68","25,692.14","25,957.63","25,692.14","320.96M","0.84%"
"2019년 05월 15일","25,648.02","25,400.13","25,724.89","25,341.94","270.72M","0.45%"
"2019년 05월 14일","25,532.05","25,384.03","25,688.96","25,384.03","291.57M","0.82%"
