"날짜","종가","오픈","고가","저가","변동 %"
"2019년 06월 23일","1.471","1.471","1.471","1.471","0.00%"
"2019년 06월 22일","1.471","1.471","1.471","1.471","0.00%"
"2019년 06월 21일","1.471","1.470","1.472","1.470","0.07%"
"2019년 06월 20일","1.470","1.475","1.475","1.470","-1.87%"
"2019년 06월 19일","1.498","1.500","1.500","1.498","-1.06%"
"2019년 06월 18일","1.514","1.514","1.514","1.514","1.82%"
"2019년 06월 17일","1.487","1.490","1.490","1.487","0.88%"
"2019년 06월 16일","1.474","1.474","1.474","1.474","0.00%"
"2019년 06월 15일","1.474","1.474","1.474","1.474","-0.41%"
"2019년 06월 14일","1.480","1.475","1.480","1.475","0.41%"
"2019년 06월 13일","1.474","1.470","1.475","1.470","-1.67%"
"2019년 06월 12일","1.499","1.499","1.499","1.499","0.33%"
"2019년 06월 11일","1.494","1.495","1.495","1.493","-1.13%"
"2019년 06월 10일","1.511","1.511","1.511","1.511","-0.72%"
"2019년 06월 09일","1.522","1.522","1.522","1.522","0.00%"
"2019년 06월 08일","1.522","1.522","1.522","1.522","0.33%"
"2019년 06월 07일","1.517","1.517","1.517","1.517","-1.17%"
"2019년 06월 06일","1.535","1.535","1.535","1.535","0.00%"
"2019년 06월 05일","1.535","1.530","1.535","1.530","-1.54%"
"2019년 06월 04일","1.559","1.560","1.560","1.558","-2.62%"
"2019년 06월 03일","1.601","1.601","1.601","1.601","1.33%"
"2019년 06월 02일","1.580","1.580","1.580","1.580","0.00%"
"2019년 06월 01일","1.580","1.580","1.580","1.580","-1.37%"
"2019년 05월 31일","1.602","1.602","1.602","1.602","-1.54%"
"2019년 05월 30일","1.627","1.625","1.627","1.625","0.00%"
"2019년 05월 29일","1.627","1.625","1.627","1.625","-1.03%"
"2019년 05월 28일","1.644","1.639","1.644","1.639","-0.30%"
"2019년 05월 27일","1.649","1.644","1.649","1.644","0.37%"
"2019년 05월 26일","1.643","1.643","1.643","1.643","0.00%"
"2019년 05월 25일","1.643","1.643","1.643","1.643","0.00%"
"2019년 05월 24일","1.643","1.640","1.643","1.640","-0.73%"
"2019년 05월 23일","1.655","1.655","1.655","1.655","-0.42%"
"2019년 05월 22일","1.662","1.662","1.662","1.662","-0.18%"
"2019년 05월 21일","1.665","1.665","1.665","1.665","-0.30%"
"2019년 05월 20일","1.670","1.672","1.672","1.670","0.00%"
"2019년 05월 19일","1.670","1.670","1.670","1.670","0.00%"
"2019년 05월 18일","1.670","1.670","1.670","1.670","0.00%"
"2019년 05월 17일","1.670","1.672","1.672","1.670","-0.12%"
"2019년 05월 16일","1.672","1.672","1.672","1.671","-0.59%"
"2019년 05월 15일","1.682","1.685","1.685","1.680","-0.59%"
"2019년 05월 14일","1.692","1.697","1.697","1.692","-1.11%"
"2019년 05월 13일","1.711","1.711","1.711","1.711","0.41%"
"2019년 05월 12일","1.704","1.704","1.704","1.704","0.00%"
"2019년 05월 11일","1.704","1.704","1.704","1.704","0.00%"
"2019년 05월 10일","1.704","1.707","1.708","1.704","0.06%"
"2019년 05월 09일","1.703","1.702","1.706","1.702","-0.70%"
"2019년 05월 08일","1.715","1.720","1.720","1.715","-0.58%"
"2019년 05월 07일","1.725","1.725","1.727","1.725","-0.69%"
"2019년 05월 06일","1.737","1.737","1.737","1.737","0.00%"
"2019년 05월 05일","1.737","1.737","1.737","1.737","0.00%"
"2019년 05월 04일","1.737","1.737","1.737","1.737","0.00%"
"2019년 05월 03일","1.737","1.740","1.740","1.737","-0.23%"
"2019년 05월 02일","1.741","1.742","1.742","1.741","0.69%"
"2019년 05월 01일","1.729","1.729","1.729","1.729","0.00%"
"2019년 04월 30일","1.729","1.727","1.729","1.727","-0.52%"
"2019년 04월 29일","1.738","1.735","1.740","1.735","-0.17%"
"2019년 04월 28일","1.741","1.741","1.741","1.741","0.00%"
"2019년 04월 27일","1.741","1.741","1.741","1.741","0.00%"
"2019년 04월 26일","1.741","1.740","1.741","1.740","0.00%"
"2019년 04월 25일","1.741","1.740","1.741","1.740","-0.57%"
"2019년 04월 24일","1.751","1.752","1.752","1.751","-0.45%"
"2019년 04월 23일","1.759","1.760","1.761","1.759","0.00%"
"2019년 04월 22일","1.759","1.760","1.761","1.759","0.17%"
"2019년 04월 21일","1.756","1.756","1.756","1.756","0.00%"
"2019년 04월 20일","1.756","1.756","1.756","1.756","0.00%"
"2019년 04월 19일","1.756","1.760","1.760","1.756","0.17%"
"2019년 04월 18일","1.753","1.750","1.753","1.750","-0.51%"
"2019년 04월 17일","1.762","1.765","1.765","1.762","0.11%"
"2019년 04월 16일","1.760","1.760","1.760","1.757","0.00%"
"2019년 04월 15일","1.760","1.760","1.760","1.757","0.69%"
"2019년 04월 14일","1.748","1.748","1.748","1.748","0.00%"
"2019년 04월 13일","1.748","1.748","1.748","1.748","-0.57%"
"2019년 04월 12일","1.758","1.758","1.758","1.758","0.00%"
"2019년 04월 11일","1.758","1.745","1.758","1.745","0.00%"
"2019년 04월 10일","1.758","1.758","1.758","1.758","1.27%"
"2019년 04월 09일","1.736","1.737","1.737","1.736","0.00%"
"2019년 04월 08일","1.736","1.737","1.737","1.736","0.06%"
"2019년 04월 07일","1.735","1.735","1.735","1.735","0.00%"
"2019년 04월 06일","1.735","1.735","1.735","1.735","-0.34%"
"2019년 04월 05일","1.741","1.741","1.741","1.741","0.69%"
"2019년 04월 04일","1.729","1.732","1.732","1.729","-0.17%"
"2019년 04월 03일","1.732","1.735","1.735","1.732","0.17%"
"2019년 04월 02일","1.729","1.727","1.729","1.727","-0.52%"
"2019년 04월 01일","1.738","1.734","1.738","1.734","0.52%"
"2019년 03월 31일","1.729","1.729","1.729","1.729","0.00%"
"2019년 03월 30일","1.729","1.729","1.729","1.729","0.00%"
"2019년 03월 29일","1.729","1.727","1.729","1.727","-1.82%"
"2019년 03월 28일","1.761","1.761","1.761","1.761","-0.51%"
"2019년 03월 27일","1.770","1.770","1.770","1.770","-0.56%"
"2019년 03월 26일","1.780","1.780","1.780","1.780","-0.56%"
"2019년 03월 25일","1.790","1.790","1.790","1.790","-0.61%"
"2019년 03월 24일","1.801","1.801","1.801","1.801","0.00%"
"2019년 03월 23일","1.801","1.801","1.801","1.801","0.00%"
"2019년 03월 22일","1.801","1.800","1.801","1.800","0.06%"
"2019년 03월 21일","1.800","1.800","1.800","1.800","0.00%"
"2019년 03월 20일","1.800","1.800","1.800","1.800","0.28%"
"2019년 03월 19일","1.795","1.795","1.795","1.795","0.00%"
"2019년 03월 18일","1.795","1.795","1.795","1.795","0.06%"
"2019년 03월 17일","1.794","1.794","1.794","1.794","0.00%"
"2019년 03월 16일","1.794","1.794","1.794","1.794","-0.72%"
"2019년 03월 15일","1.807","1.807","1.807","1.807","0.72%"
"2019년 03월 14일","1.794","1.792","1.794","1.792","0.22%"
"2019년 03월 13일","1.790","1.790","1.791","1.790","-0.17%"
"2019년 03월 12일","1.793","1.792","1.793","1.792","-0.22%"
"2019년 03월 11일","1.797","1.795","1.797","1.795","0.00%"
"2019년 03월 10일","1.797","1.797","1.797","1.797","0.00%"
"2019년 03월 09일","1.797","1.797","1.797","1.797","0.00%"
"2019년 03월 08일","1.797","1.756","1.800","1.749","2.22%"
"2019년 03월 07일","1.758","1.755","1.758","1.755","-0.11%"
"2019년 03월 06일","1.760","1.760","1.760","1.760","-0.23%"
"2019년 03월 05일","1.764","1.764","1.764","1.764","0.23%"
"2019년 03월 04일","1.760","1.762","1.762","1.760","0.17%"
"2019년 03월 03일","1.757","1.757","1.757","1.757","0.00%"
"2019년 03월 02일","1.757","1.757","1.757","1.757","0.00%"
"2019년 03월 01일","1.757","1.757","1.757","1.757","-0.45%"
"2019년 02월 28일","1.765","1.765","1.765","1.765","0.34%"
"2019년 02월 27일","1.759","1.759","1.759","1.759","0.00%"
"2019년 02월 26일","1.759","1.760","1.760","1.758","-0.40%"
"2019년 02월 25일","1.766","1.766","1.766","1.766","0.34%"
"2019년 02월 24일","1.760","1.760","1.760","1.760","0.00%"
"2019년 02월 23일","1.760","1.760","1.760","1.760","-0.34%"
"2019년 02월 22일","1.766","1.766","1.766","1.766","0.34%"
"2019년 02월 21일","1.760","1.760","1.760","1.760","0.28%"
"2019년 02월 20일","1.755","1.755","1.755","1.755","0.29%"
"2019년 02월 19일","1.750","1.750","1.751","1.750","0.00%"
"2019년 02월 18일","1.750","1.750","1.750","1.750","0.06%"
"2019년 02월 17일","1.749","1.749","1.749","1.749","0.00%"
"2019년 02월 16일","1.749","1.749","1.749","1.749","0.00%"
"2019년 02월 15일","1.749","1.750","1.751","1.749","0.00%"
"2019년 02월 14일","1.749","1.750","1.750","1.748","-0.29%"
"2019년 02월 13일","1.754","1.755","1.755","1.753","0.00%"
"2019년 02월 12일","1.754","1.755","1.756","1.754","-0.28%"
"2019년 02월 11일","1.759","1.760","1.760","1.759","-0.06%"
"2019년 02월 10일","1.760","1.760","1.760","1.760","0.00%"
"2019년 02월 09일","1.760","1.760","1.760","1.760","0.00%"
"2019년 02월 08일","1.760","1.760","1.760","1.760","-0.56%"
"2019년 02월 07일","1.770","1.770","1.770","1.770","-0.06%"
"2019년 02월 06일","1.771","1.771","1.771","1.771","0.00%"
"2019년 02월 05일","1.771","1.771","1.771","1.771","0.00%"
"2019년 02월 04일","1.771","1.771","1.771","1.771","0.00%"
"2019년 02월 03일","1.771","1.771","1.771","1.771","0.00%"
"2019년 02월 02일","1.771","1.771","1.771","1.771","0.00%"
