"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 05월 29일","1,305.57","1,288.50","1,311.36","1,286.99","-","0.41%"
"2019년 05월 28일","1,300.30","1,317.88","1,323.76","1,298.09","-","-0.89%"
"2019년 05월 24일","1,311.97","1,334.22","1,339.43","1,310.91","-","-0.82%"
"2019년 05월 23일","1,322.84","1,316.35","1,324.46","1,302.13","-","-1.65%"
"2019년 05월 22일","1,345.04","1,345.06","1,359.16","1,341.11","-","-2.12%"
"2019년 05월 21일","1,374.21","1,375.49","1,380.57","1,362.96","-","2.13%"
"2019년 05월 20일","1,345.58","1,355.91","1,367.71","1,337.15","-","-4.02%"
"2019년 05월 17일","1,402.01","1,408.06","1,436.15","1,396.80","-","-1.96%"
"2019년 05월 16일","1,430.11","1,431.96","1,446.18","1,421.67","-","-1.68%"
"2019년 05월 15일","1,454.50","1,428.48","1,464.13","1,427.45","-","0.81%"
"2019년 05월 14일","1,442.83","1,423.55","1,449.99","1,420.73","-","2.40%"
"2019년 05월 13일","1,408.95","1,431.14","1,438.48","1,403.35","-","-4.73%"
"2019년 05월 10일","1,478.87","1,469.07","1,487.33","1,444.14","-","0.14%"
"2019년 05월 09일","1,476.80","1,466.59","1,483.76","1,443.98","-","-1.18%"
"2019년 05월 08일","1,494.48","1,494.86","1,517.18","1,491.82","-","-0.79%"
"2019년 05월 07일","1,506.32","1,522.40","1,527.28","1,489.97","-","-2.42%"
"2019년 05월 06일","1,543.73","1,514.08","1,545.34","1,513.20","-","-1.72%"
"2019년 05월 03일","1,570.70","1,564.50","1,571.43","1,552.96","-","0.65%"
"2019년 05월 02일","1,560.61","1,542.43","1,576.67","1,540.69","-","1.11%"
"2019년 05월 01일","1,543.48","1,570.36","1,579.19","1,543.30","-","-0.82%"
"2019년 04월 30일","1,556.18","1,547.29","1,559.53","1,541.82","-","0.76%"
"2019년 04월 29일","1,544.44","1,546.44","1,551.14","1,538.20","-","-0.19%"
"2019년 04월 26일","1,547.40","1,530.02","1,547.63","1,515.49","-","-0.83%"
"2019년 04월 25일","1,560.32","1,582.35","1,583.73","1,547.26","-","-1.81%"
"2019년 04월 24일","1,589.02","1,575.55","1,604.57","1,575.38","-","0.95%"
"2019년 04월 23일","1,574.05","1,562.28","1,579.03","1,561.37","-","1.01%"
"2019년 04월 22일","1,558.29","1,553.19","1,561.84","1,547.42","-","0.01%"
"2019년 04월 18일","1,558.13","1,557.42","1,562.64","1,550.88","-","0.07%"
"2019년 04월 17일","1,557.08","1,566.77","1,576.79","1,545.86","-","1.56%"
"2019년 04월 16일","1,533.22","1,495.60","1,533.61","1,495.23","-","3.19%"
"2019년 04월 15일","1,485.82","1,496.95","1,498.10","1,477.45","-","-0.75%"
"2019년 04월 12일","1,497.12","1,490.43","1,497.13","1,484.96","-","1.43%"
"2019년 04월 11일","1,476.07","1,478.33","1,486.02","1,471.61","-","-0.07%"
"2019년 04월 10일","1,477.16","1,465.23","1,481.30","1,463.64","-","0.86%"
"2019년 04월 09일","1,464.52","1,472.24","1,472.24","1,458.26","-","-1.14%"
