"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 05월 13일","1,350.20","1,321.90","1,335.50","1,319.20","0.12K","0.97%"
"2019년 05월 10일","1,337.20","1,323.10","1,323.10","1,323.10","0.05K","0.16%"
"2019년 05월 09일","1,335.10","1,319.20","1,319.20","1,319.20","0.04K","0.28%"
"2019년 05월 08일","1,331.40","1,338.00","1,338.00","1,338.00","0.05K","-0.33%"
"2019년 05월 07일","1,335.80","1,315.10","1,315.10","1,314.80","0.12K","0.13%"
"2019년 05월 06일","1,334.00","1,320.70","1,320.70","1,319.70","0.01K","0.17%"
"2019년 05월 03일","1,331.70","1,315.40","1,315.40","1,314.90","0.02K","0.72%"
"2019년 05월 02일","1,322.20","1,323.00","1,323.00","1,323.00","0.00K","-0.90%"
"2019년 05월 01일","1,334.20","1,321.30","1,322.00","1,317.40","0.26K","-0.11%"
"2019년 04월 30일","1,335.70","1,320.90","1,322.10","1,317.80","0.21K","0.31%"
"2019년 04월 29일","1,331.60","1,284.80","1,284.90","1,277.10","0.14K","-0.57%"
"2019년 04월 26일","1,339.20","1,319.40","1,324.20","1,319.40","0.38K","0.68%"
"2019년 04월 25일","1,330.20","1,310.50","1,310.50","1,310.50","0.00K","0.02%"
"2019년 04월 24일","1,329.90","1,268.40","1,273.90","1,267.80","0.15K","0.46%"
"2019년 04월 23일","1,323.80","1,309.40","1,309.40","1,306.70","0.01K","-0.35%"
"2019년 04월 22일","1,328.50","1,273.50","1,273.50","1,273.50","0.00K","3.96%"
"2019년 04월 19일","1,277.90","1,277.90","1,277.90","1,277.90","-","-3.69%"
"2019년 04월 18일","1,326.90","1,310.90","1,313.10","1,308.90","0.08K","-0.05%"
"2019년 04월 17일","1,327.60","1,314.60","1,314.60","1,311.90","0.06K","-0.04%"
"2019년 04월 16일","1,328.10","1,329.10","1,329.10","1,329.00","0.05K","-1.07%"
"2019년 04월 15일","1,342.40","1,321.90","1,323.00","1,321.90","0.02K","-0.29%"
"2019년 04월 12일","1,346.30","1,333.20","1,333.20","1,333.20","0.23K","0.22%"
"2019년 04월 11일","1,343.40","1,356.60","1,356.60","1,356.60","0.00K","-1.50%"
"2019년 04월 10일","1,363.90","1,343.70","1,346.90","1,341.80","0.08K","0.40%"
"2019년 04월 09일","1,358.40","1,338.40","1,344.40","1,338.40","0.00K","0.48%"
"2019년 04월 08일","1,351.90","1,339.10","1,339.10","1,339.10","0.00K","0.50%"
"2019년 04월 05일","1,345.20","1,327.80","1,327.80","1,327.80","0.05K","0.13%"
"2019년 04월 04일","1,343.50","1,325.80","1,325.80","1,316.10","0.04K","-0.04%"
"2019년 04월 03일","1,344.00","1,331.80","1,331.80","1,331.80","0.05K","0.01%"
"2019년 04월 02일","1,343.90","1,340.80","1,343.20","1,340.80","0.00K","0.09%"
"2019년 04월 01일","1,342.70","1,328.10","1,328.10","1,328.10","0.03K","-0.25%"
"2019년 03월 29일","1,346.00","1,354.10","1,354.10","1,354.10","0.00K","0.27%"
"2019년 03월 28일","1,342.40","1,348.00","1,348.00","1,342.20","0.01K","-1.57%"
"2019년 03월 27일","1,363.80","1,357.50","1,357.50","1,352.00","0.04K","-0.40%"
"2019년 03월 26일","1,369.30","1,354.80","1,354.80","1,348.00","0.01K","-0.64%"
"2019년 03월 25일","1,378.10","1,359.00","1,361.00","1,358.30","0.10K","0.64%"
"2019년 03월 22일","1,369.30","1,368.20","1,368.20","1,368.20","0.03K","0.35%"
"2019년 03월 21일","1,364.50","1,357.90","1,357.90","1,357.90","0.12K","0.37%"
"2019년 03월 20일","1,359.50","1,344.90","1,344.90","1,344.60","0.02K","-0.38%"
"2019년 03월 19일","1,364.70","1,352.80","1,352.80","1,352.80","0.00K","0.39%"
"2019년 03월 18일","1,359.40","1,346.80","1,346.80","1,346.80","0.01K","-0.09%"
"2019년 03월 15일","1,360.60","1,344.00","1,344.00","1,344.00","0.01K","0.57%"
"2019년 03월 14일","1,352.90","1,337.00","1,337.00","1,337.00","0.23K","-1.11%"
"2019년 03월 13일","1,368.10","1,350.30","1,350.30","1,350.30","0.02K","0.85%"
"2019년 03월 12일","1,356.60","1,333.80","1,333.80","1,333.80","0.08K","0.49%"
"2019년 03월 11일","1,350.00","1,350.00","1,350.00","1,350.00","0.00K","-0.63%"
"2019년 03월 08일","1,358.50","1,342.90","1,342.90","1,342.90","0.00K","1.01%"
"2019년 03월 07일","1,344.90","1,329.40","1,329.40","1,329.40","0.04K","-0.12%"
"2019년 03월 06일","1,346.50","1,327.50","1,327.50","1,327.50","0.00K","0.22%"
"2019년 03월 05일","1,343.50","1,328.00","1,328.00","1,328.00","0.00K","-0.21%"
"2019년 03월 04일","1,346.30","1,336.50","1,339.80","1,327.40","0.02K","-0.88%"
"2019년 03월 01일","1,358.30","1,351.60","1,351.60","1,351.60","0.13K","-1.24%"
"2019년 02월 28일","1,375.30","1,374.00","1,374.00","1,374.00","0.01K","-0.38%"
"2019년 02월 27일","1,380.50","1,371.00","1,371.00","1,371.00","0.00K","-0.53%"
"2019년 02월 26일","1,387.90","1,370.10","1,370.10","1,370.10","0.00K","-0.08%"
"2019년 02월 25일","1,389.00","1,373.10","1,373.10","1,373.10","0.00K","-0.25%"
"2019년 02월 22일","1,392.50","1,370.30","1,374.10","1,370.30","0.02K","0.38%"
"2019년 02월 21일","1,387.20","1,388.00","1,388.00","1,388.00","0.03K","-1.39%"
"2019년 02월 20일","1,406.70","1,389.90","1,389.90","1,389.90","0.15K","0.20%"
"2019년 02월 19일","1,403.90","1,371.60","1,381.10","1,371.60","0.04K","5.59%"
"2019년 02월 18일","1,329.55","1,324.35","1,330.75","1,324.05","-","0.40%"
"2019년 02월 17일","1,324.25","1,324.65","1,324.95","1,323.85","-","-4.12%"
"2019년 02월 15일","1,381.20","1,364.90","1,364.90","1,364.90","0.03K","0.58%"
"2019년 02월 14일","1,373.20","1,305.00","1,311.80","1,301.60","0.07K","-0.10%"
"2019년 02월 13일","1,374.60","1,354.00","1,354.00","1,346.50","0.05K","0.10%"
"2019년 02월 12일","1,373.20","1,357.30","1,357.30","1,357.30","0.00K","0.15%"
"2019년 02월 11일","1,371.20","1,353.60","1,353.60","1,353.60","0.03K","-0.48%"
"2019년 02월 08일","1,377.80","1,355.10","1,355.10","1,355.10","0.05K","0.31%"
"2019년 02월 07일","1,373.60","1,351.30","1,356.70","1,351.30","0.00K","-0.01%"
"2019년 02월 06일","1,373.80","1,360.80","1,360.80","1,360.80","0.00K","-0.35%"
"2019년 02월 05일","1,378.60","1,361.90","1,362.50","1,361.90","0.04K","0.02%"
"2019년 02월 04일","1,378.30","1,360.30","1,360.30","1,358.10","0.00K","-0.20%"
